Identificacao do Produto,Identificador do Fornecedor,Quantidade Requerida,Valor do Item
Acelga,Diego Araújo,4.0,4.0
Leite,Daniela da Cruz,3.0,46.0
Salsa,Leonardo da Cruz,1.0,6.0
Manteiga,Lara Porto,300.0,15.0
Alho,Paulo Novaes,1.0,12.0
Cebola,Davi Luiz Lopes,1.0,11.0
Bergamota Ponkan,Laura Costela,1.0,12.0
Laranja de Umbigo,Isabelly da Mata,2.0,15.0
Abacaxi,Lucca da Mata,5.0,9.0
Nata Santa Clara,Cecília da Conceição,200.0,12.0
Cenoura,Otávio Moreira,2.0,13.0
Beterraba,Francisco da Paz,5.0,13.0
Banana,Maria Luiza Costela,1.0,10.0
Mel,Giovanna Mendes,500.0,10.0

Valor Total dos Produtos,Valor Total dos Fretes,Valor Total da Compra
188.0,284.0,472.0
